# Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
# vi: set noexpandtab tabstop=23:
# pos are taken from jmdict except for `raw` - piece of original text
# reason - particular deinflection marker
# suffix | new suffix | source pos | new pos | reason
# Test set:
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%D9%FA%A4%E1%A4%EB_v1
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B8%E2%A4%EC%A4%EB_v1-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%AB%A4%D6_v5b
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%C4%A4%B0_v5g
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B6%F5%A4%AF_v5k
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B9%D4%A4%AF_v5k-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B9%EF%A4%E0_v5m
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%BB%E0%A4%CC_v5n
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%BB%EA%A4%EB_v5r
# v5aru: https://en.wiktionary.org/wiki/%E3%81%84%E3%82%89%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B#Conjugation
# v5r-i: https://en.wiktionary.org/wiki/%E6%9C%89%E3%82%8B#Conjugation
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%F0%E4%A4%B9_v5s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%B0%E9%A4%C4_v5t
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C0%EA%A4%A6_v5u
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C0%C1%A4%A6_v5u-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%CD%E8%A4%EB_vk
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%C9%BD%A4%B9%A4%EB_vs-s
# http://www.edrdg.org/cgi-bin/wwwjdic/wwwjdic?1W%CA%AA%A4%C8%A4%B9%A4%EB_vs-i
# Consider 間違いありません. It's somewhat irregular adj-i
ありませんでした	なかった	raw	raw	polite
これる	くる	v1|v1-s	vk	potential
てる	ている	v1	v1|v1-s	colloquial
でる	でいる	v1	v1|v1-s	colloquial
とる	ている	v1	v1	colloquial
どる	でいる	v1	v1	colloquial
とく	ておく	v5k	v5k	colloquial
どく	でおく	v5k	v5k	colloquial
いた	く	raw	v5k	past
いだ	ぐ	raw	v5g	past
いて	く	raw	v5k	-te
いで	ぐ	raw	v5g	-te
えば	う	raw	v5u|v5u-s	-ba
える	う	v1|v1-s	v5u|v5u-s	potential
おう	う	raw	v5u|v5u-s	volitional
かず	く	raw	v5k|v5k-s	-zu
がず	ぐ	raw	v5g	-zu
きた	くる	raw	vk	past
きて	くる	raw	vk	-te
くて	い	raw	adj-i	-te
けば	く	raw	v5k|v5k-s	-ba
げば	ぐ	raw	v5g	-ba
ける	く	v1|v1-s	v5k|v5k-s	potential
げる	ぐ	v1|v1-s	v5g	potential
こい	くる	raw	vk	imperative
こう	く	raw	v5k|v5k-s	volitional
ごう	ぐ	raw	v5g	volitional
こず	くる	raw	vk	-zu
さず	す	raw	v5s	-zu
した	す	raw	v5s	past
した	する	raw	vs-i|vs-s	past
して	す	raw	v5s	-te
して	する	raw	vs-i|vs-s	-te
しろ	する	raw	vs-i|vs-s	imperative
せず	する	raw	vs-i|vs-s	-zu
せば	す	raw	v5s	-ba
せよ	する	raw	vs-i|vs-s	imperative
せる	す	v1|v1-s	v5s	potential
そう	す	raw	v5s	volitional
たず	つ	raw	v5t	-zu
たら	る	raw	v1|v1-s|vk	-tara
たり	る	raw	v1|v1-s|vk	-tari
った	う	raw	v5u	past
うた	う	raw	v5u-s	past
った	く	raw	v5k-s	past
った	つ	raw	v5t	past
った	る	raw	v5r|v5r-i|v5aru	past
って	う	raw	v5u	-te
うて	う	raw	v5u-s	-te
って	く	raw	v5k-s	-te
って	つ	raw	v5t	-te
って	る	raw	v5r|v5r-i|v5aru	-te
てば	つ	raw	v5t	-ba
てる	つ	v1|v1-s	v5t	potential
とう	つ	raw	v5t	volitional
ない	る	adj-i	v1|v1-s|vk	negative
ない	ある	adj-i	v5r-i	negative
なず	ぬ	raw	v5n	-zu
ねば	ぬ	raw	v5n	-ba
ねる	ぬ	v1|v1-s	v5n	potential
のう	ぬ	raw	v5n	volitional
ばず	ぶ	raw	v5b	-zu
べば	ぶ	raw	v5b	-ba
べる	ぶ	v1|v1-s	v5b	potential
ぼう	ぶ	raw	v5b	volitional
ます	る	v5s	v1|v1-s|vk	polite
まず	む	raw	v5m	-zu
めば	む	raw	v5m	-ba
める	む	v1|v1-s	v5m	potential
もう	む	raw	v5m	volitional
よう	る	raw	v1|v1-s|vk	volitional
らず	る	raw	v5r|v5r-i|v5aru	-zu
れば	る	raw	v1|v1-s|v5r|v5r-i|v5aru|vk|vs-i|vs-s	-ba
れる	る	v1|v1-s	v1|v1-s|v5r|v5r-i|v5aru	potential
ろう	る	raw	v5r|v5r-i|v5aru	volitional
わず	う	raw	v5u|v5u-s	-zu
んだ	ぬ	raw	v5n	past
んだ	ぶ	raw	v5b	past
んだ	む	raw	v5m	past
んで	ぬ	raw	v5n	-te
んで	ぶ	raw	v5b	-te
んで	む	raw	v5m	-te
さす	る	v5s	v1|v1-s|vk	informal causative
ばす	ぶ	v5s	v5b	informal causative
ばぬ	ぶ	raw	v5b	archaic negative
がす	ぐ	v5s	v5g	informal causative
がぬ	ぐ	raw	v5g	archaic negative
かす	く	v5s	v5k|v5k-s	informal causative
かぬ	く	raw	v5k|v5k-s	archaic negative
ます	む	v5s	v5m	informal causative
まぬ	む	raw	v5m	archaic negative
なす	ぬ	v5s	v5n	informal causative
なぬ	ぬ	raw	v5n	archaic negative
らす	る	v5s	v5r|v5r-i|v5aru	informal causative
らぬ	る	raw	v5r|v5r-i|v5aru	archaic negative
さす	す	v5s	v5s	informal causative
さぬ	す	raw	v5s	archaic negative
たす	つ	v5s	v5t	informal causative
たぬ	つ	raw	v5t	archaic negative
# wwwjdic says there is no caus-pass for v5u-s, but is's impossible to exclude it here and
# hard (for now) to exclude it in the code, so let it be for now
わす	う	v5s	v5u|v5u-s	informal causative
わぬ	う	raw	v5u|v5u-s	archaic negative
さす	する	v5s	vs-s|vs-i	informal causative
せぬ	する	v5s	vs-s|vs-i	archaic negative
かん	く	raw	v5k|v5k-s	casual negative
がん	ぐ	raw	v5g	casual negative
さん	す	raw	v5s	casual negative
せん	する	raw	vs-s|vs-i	casual negative
たん	つ	raw	v5t	casual negative
なん	ぬ	raw	v5n	casual negative
